SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MANILAM,ST,27-02-2026,69.0,55.2,55.2,52.45,52.45,52.45,53.57,"9,34,000","5,00,30,600.00",307,"9,32,000",99.79
MANILAM,ST,02-03-2026,52.45,49.85,55.0,49.85,54.5,53.8,51.97,638000,331.55,214, 628000,98.43
MANILAM,ST,04-03-2026,53.8,51.15,55.45,51.15,55.0,54.95,52.8,62000,32.74,27, 62000,100.0
MANILAM,ST,05-03-2026,54.95,55.0,55.0,52.65,53.6,53.55,53.93,96000,51.77,37, 94000,97.92
MANILAM,ST,06-03-2026,53.55,53.0,53.25,51.0,51.0,52.1,52.4,132000,69.17,49, 128000,96.97
MANILAM,ST,09-03-2026,52.1,52.0,54.7,52.0,53.05,53.05,54.66,1066000,582.63,221, 1062000,99.62
MANILAM,ST,10-03-2026,53.05,53.8,55.7,53.05,55.7,55.7,55.35,84000,46.49,24, 82000,97.62
MANILAM,ST,11-03-2026,55.7,58.45,58.45,58.0,58.45,58.45,58.42,68000,39.73,33, 68000,100.0
MANILAM,ST,12-03-2026,58.45,58.45,60.0,57.0,60.0,59.3,58.21,18000,10.48,9, 18000, 100.00
